title_theme,title_index,author,theme,cycle,collection,mss_ff,mss,ff,page,mss_index
apollonius of tyre,apollonius of tyre,,classical romances,,additional,add. 4857. ff. 28-56 b,add. 4857.,ff. 28-56 b,161,additional add. 4857. ff. 28-56 b
apollonius of tyre,apollonius of tyre,,classical romances,,additional,add. 4864. ff. 88-114 b,add. 4864.,ff. 88-114 b,161,additional add. 4864. ff. 88-114 b
sir orpheo,sir orpheo,,classical romances,,harley,harley 3810. part i. ff. 1-10,harley 3810. part i.,ff. 1-10,171,harley 3810. part i. ff. 1-10
athis et profilias,roman d'athis et profilas,alexandre de bernay,classical romances,,additional,"add. 16,441","add. 16,441",,173,"additional add. 16,441"
athis et profilias,roman d'athis et profilas,alexandre de bernay,classical romances,,additional,"add. 16,441","add. 16,441",,173,"additional add. 16,441"
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,royal,16. e. viii. ff. 73-102 b,16. e. viii.,ff. 73-102 b,176,royal 16. e. viii. ff. 73-102 b
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,cotton,caligula a. ii. ff. 111-125,caligula a. ii.,ff. 111-125,176,cotton caligula a. ii. ff. 111-125
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,cotton,vespasian e. xvi. ff. 70-75 b,vespasian e. xvi.,ff. 70-75 b,176,cotton vespasian e. xvi. ff. 70-75 b
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,additional,"add. 10,038. ff. 2-81 b","add. 10,038.",ff. 2-81 b,176,"additional add. 10,038. ff. 2-81 b"
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,additional,"add. 10,289. ff. 82-121","add. 10,289.",ff. 82-121,176,"additional add. 10,289. ff. 82-121"
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,additional,add. 31042 ff 50-66,add. 31042,ff50-66,176,additional add. 31042 ff 50-66
"titus and vespasian, an english poem",titus and vespasian,,classical romances,,royal,16. e. viii. ff. 73-102 b,16. e. viii.,ff. 73-102 b,180,royal 16. e. viii. ff. 73-102 b
"titus and vespasian, an english poem",titus and vespasian,,classical romances,,cotton,caligula a. ii. ff. 111-125,caligula a. ii.,ff. 111-125,180,cotton caligula a. ii. ff. 111-125
"titus and vespasian, an english poem",titus and vespasian,,classical romances,,cotton,vespasian e. xvi. ff. 70-75 b,vespasian e. xvi.,ff. 70-75 b,180,cotton vespasian e. xvi. ff. 70-75 b
"titus and vespasian, an english poem",titus and vespasian,,classical romances,,additional,"add. 10,038. ff. 2-81 b","add. 10,038.",ff. 2-81 b,180,"additional add. 10,038. ff. 2-81 b"
"titus and vespasian, an english poem",titus and vespasian,,classical romances,,additional,"add. 10,289. ff. 82-121","add. 10,289.",ff. 82-121,180,"additional add. 10,289. ff. 82-121"
"titus and vespasian, an english poem",titus and vespasian,,classical romances,,additional,add. 31042 ff 50-66,add. 31042,ff50-66,180,additional add. 31042 ff 50-66
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,royal,13. a. xiv. ff. 244-247,13. a. xiv.,ff. 244-247,190,royal 13. a. xiv. ff. 244-247
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,royal,15. a. xxii. ff. 110-115,15. a. xxii.,ff. 110-115,190,royal 15. a. xxii. ff. 110-115
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,royal,15. b. xi. ff. 67-69,15. b. xi.,ff. 67-69,190,royal 15. b. xi. ff. 67-69
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,caligula a. x. ff. 200-204,caligula a. x.,ff. 200-204,190,cotton caligula a. x. ff. 200-204
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,"caligula b. vii. ff. 219, 220",caligula b. vii.,"ff. 219, 220",190,"cotton caligula b. vii. ff. 219, 220"
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,vespasian b. xxv. ff. 117 b-123,vespasian b. xxv.,ff. 117 b-123,190,cotton vespasian b. xxv. ff. 117 b-123
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,vespasian e. iv. ff. 143-147,vespasian e. iv.,ff. 143-147,190,cotton vespasian e. iv. ff. 143-147
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,titus d. iii. ff. 143-147 b,titus d. iii.,ff. 143-147 b,190,cotton titus d. iii. ff. 143-147 b
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,domitian xiii. ff. 104-107,domitian xiii.,ff. 104-107,190,cotton domitian xiii. ff. 104-107
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,domitian xiii. ff. 132 b-134 b,domitian xiii.,ff. 132 b-134 b,190,cotton domitian xiii. ff. 132 b-134 b
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,egerton,egerton 810 ff. 106-109 b,egerton 810,ff. 106-109 b,190,egerton 810 ff. 106-109 b
"life of virgil, in icelandic (from the dutch)",life of virgilius,,classical romances,,additional,add. 4859. ff. 81 b-91,add. 4859.,ff. 81 b-91,196,additional add. 4859. ff. 81 b-91
"life of virgil, in icelandic (from the dutch)",life of virgilius,,classical romances,,additional,"add. 11,141. ff. 132-147","add. 11,141.",ff. 132-147,196,"additional add. 11,141. ff. 132-147"
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,"nero d. viii. ff. 186, 187",nero d. viii.,"ff. 186, 187",198,"cotton nero d. viii. ff. 186, 187"
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,vespasian e. x. ff. 390 b-392,vespasian e. x.,ff. 390 b-392,198,cotton vespasian e. x. ff. 390 b-392
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,titus a. xix. ff. 103,titus a. xix.,ff. 103,198,cotton titus a. xix. ff. 103
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,cleopatra d. viii. ff. 3 b-5,cleopatra d. viii.,ff. 3 b-5,198,cotton cleopatra d. viii. ff. 3 b-5
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,"cleopatra d. ix. ff. 67, 68",cleopatra d. ix.,"ff. 67, 68",198,"cotton cleopatra d. ix. ff. 67, 68"
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,harley,harley 941. ff. 1-3,harley 941.,ff. 1-3,198,harley 941. ff. 1-3
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,harley,harley 2386. ff. 65 b-67,harley 2386.,ff. 65 b-67,198,harley 2386. ff. 65 b-67
historia regum britannia,historia regum britannia,geoffrey of monmouth,british and english traditions,,royal,14. c. i. ff. 80-137,14. c. i.,ff. 80-137,203,royal 14. c. i. ff. 80-137
historia regum britannia,historia regum britannia,geoffrey of monmouth,british and english traditions,,royal,15. c. xvi. ff. 146-183 b,15. c. xvi.,ff. 146-183 b,203,royal 15. c. xvi. ff. 146-183 b
roman de brut,roman de brut,wace,british and english traditions,,royal,13. a. xxi. ff. 40 b-113,13. a. xxi.,ff. 40 b-113,259,royal 13. a. xxi. ff. 40 b-113
roman de brut,roman de brut,wace,british and english traditions,,cotton,vitellius a. x. ff. 19-114 b,vitellius a. x.,ff. 19-114 b,259,cotton vitellius a. x. ff. 19-114 b
roman de brut,roman de brut,wace,british and english traditions,,harley,harley 6508,harley 6508,,259,harley 6508
lazamon's brut,lazamon's brut,,british and english traditions,,cotton,caligula a. ix. ff. 3-194 b,caligula a. ix.,ff. 3-194 b,268,cotton caligula a. ix. ff. 3-194 b
chanson de brut,chanson de brut,,british and english traditions,,harley,harley 1605. art. i.,harley 1605. art. i.,,272,harley 1605. art. i.
gesta regum britanniae,gesta regum britannia,pseudo-gildas,british and english traditions,,cotton,julius d. xi. ff. 2-60,julius d. xi.,ff. 2-60,274,cotton julius d. xi. ff. 2-60
brutus,brutus,,british and english traditions,,cotton,vespasian a. x. ff. 44 b-51,vespasian a. x.,ff. 44 b-51,277,cotton vespasian a. x. ff. 44 b-51
vita merlini,vita merlini,geffrey of monmouth,british and english traditions,,royal,13. e. i. ff. 143-146,13. e. i.,ff. 143-146,278,royal 13. e. i. ff. 143-146
vita merlini,vita merlini,geffrey of monmouth,british and english traditions,,cotton,julius e. viii. ff. 12 b-17 b,julius e. viii.,ff. 12 b-17 b,278,cotton julius e. viii. ff. 12 b-17 b
vita merlini,vita merlini,geffrey of monmouth,british and english traditions,,cotton,vespasian e. iv. ff. 112 b-138 b,vespasian e. iv.,ff. 112 b-138 b,278,cotton vespasian e. iv. ff. 112 b-138 b
vita merlini,vita merlini,geffrey of monmouth,british and english traditions,,cotton,titus a. xix. ff. 63-73 b,titus a. xix.,ff. 63-73 b,278,cotton titus a. xix. ff. 63-73 b
vita merlini,vita merlini,geffrey of monmouth,british and english traditions,,harley,harley 655. ff. 200 b-204 b,harley 655.,ff. 200 b-204 b,278,harley 655. ff. 200 b-204 b
prophecies of merlin and others,prophecies of merlin and others,,british and english traditions,,harley,harley 1717. ff. 249 b-250 b,harley 1717.,ff. 249 b-250 b,292,harley 1717. ff. 249 b-250 b
"thomas of erceldoune, etc",thomas of erceldoune,,british and english traditions,,cotton,vitellius e. x. ff. 240 b-243,vitellius e. x.,ff. 240 b-243,328,cotton vitellius e. x. ff. 240 b-243
"thomas of erceldoune, etc",thomas of erceldoune,,british and english traditions,,lansdowne,"lansdowne 762. ff. 24-31, 48-58 b, 61 b-71, 75-88",lansdowne 762.,"ff. 24-31, 48-58 b, 61 b-71, 75-88",328,"lansdowne 762. ff. 24-31, 48-58 b, 61 b-71, 75-88"
kinge humber,king humber,,british and english traditions,,additional,add. 27879 f 248,add. 27879 f 248,,339,additional add. 27879 f 248
saint graal,saint graal,,british and english traditions,cycle of arthur,royal,14. e. iii. ff. 3-88 b,14. e. iii.,ff. 3-88 b,340,royal 14. e. iii. ff. 3-88 b
saint graal,saint graal,,british and english traditions,cycle of arthur,royal,19. c. vii.,19. c. vii.,,340,royal 19. c. vii.
